team,date,rank,goalkeeper_score,defense_score,offense_score,midfield_score
Argentina,2022-06-05,4,84.0,82.0,89.0,84.0
Australia,2022-06-13,42,77.0,72.0,72.0,74.0
Belgium,2022-06-14,2,89.0,81.0,86.0,86.0
Brazil,2022-06-06,1,89.0,87.0,87.0,86.0
Cameroon,2022-06-09,37,67.0,77.0,78.0,75.0
Canada,2022-06-13,38,76.0,69.0,73.0,78.0
Costa Rica,2022-06-14,31,88.0,72.0,70.0,69.0
Croatia,2022-06-13,16,82.0,78.0,77.0,84.0
Denmark,2022-06-13,11,85.0,80.0,78.0,80.0
Ecuador,2022-06-11,46,71.0,74.0,76.0,74.0
England,2022-06-14,5,83.0,85.0,88.0,84.0
France,2022-06-13,3,87.0,84.0,87.0,86.0
Germany,2022-06-14,12,88.0,84.0,83.0,86.0
Ghana,2022-06-14,60,74.0,76.0,76.0,78.0
IR Iran,2022-06-12,21,73.0,69.0,75.0,69.0
Japan,2022-06-14,23,73.0,75.0,75.0,78.0
Korea Republic,2022-06-14,29,75.0,73.0,80.0,74.0
Mexico,2022-06-14,9,80.0,77.0,83.0,78.0
Morocco,2022-06-13,24,82.0,81.0,82.0,76.0
Netherlands,2022-06-14,10,81.0,85.0,83.0,84.0
Poland,2022-06-14,26,87.0,75.0,85.0,76.0
Portugal,2022-06-12,8,82.0,85.0,86.0,84.0
Qatar,2022-03-29,52,50.0,78.0,80.0,79.0
Saudi Arabia,2022-06-09,49,70.0,73.0,68.0,73.0
Senegal,2022-06-07,20,83.0,79.0,81.0,79.0
Serbia,2022-06-12,25,80.0,76.0,80.0,82.0
Spain,2022-06-12,7,84.0,86.0,85.0,86.0
Switzerland,2022-06-12,14,85.0,78.0,77.0,80.0
Tunisia,2022-06-14,35,64.0,71.0,72.0,74.0
USA,2022-06-14,15,77.0,76.0,78.0,76.0
Uruguay,2022-06-11,13,80.0,81.0,84.0,80.0
Wales,2022-06-14,18,74.0,75.0,73.0,78.0
