nationality_name,overall,potential
France,85.55,89.18
England,85.18,89.0
Spain,85.55,88.36
Brazil,85.64,88.09
Portugal,85.0,88.0
Germany,85.0,87.55
Netherlands,83.36,87.0
Argentina,83.73,86.18
Belgium,83.45,85.55
Uruguay,80.55,84.64
Croatia,80.27,84.36
USA,76.27,83.73
Denmark,79.91,83.18
Mexico,78.45,82.91
Senegal,79.73,82.82
Poland,79.18,82.82
Qatar,78.93035971223021,82.62913669064748
Switzerland,79.09,82.55
Serbia,77.45,81.64
Morocco,79.55,81.45
Japan,75.55,80.45
Ghana,76.27,80.09
Wales,75.36,80.0
Ecuador,73.09,79.91
Korea Republic,75.27,79.0
Cameroon,75.09,78.91
Canada,73.64,78.45
Australia,72.55,76.82
Tunisia,73.0,76.0
Saudi Arabia,71.45,75.27
Costa Rica,72.0,74.55
IR Iran,70.82,72.36
